Participant,Cluster - MMHC (category),Cluster - MMHC binaire (category),Cont - L - Std,Default - L - Std,DorsAttn - L - Std,Limbic - L - Std,SalVentAttn - L - Std,SomMot - L - Std,Vis - L - Std,Cont - R - Std,Default - R - Std,DorsAttn - R - Std,Limbic - R - Std,SalVentAttn - R - Std,SomMot - R - Std,Vis - R - Std,Cont - Asym - Std,Default - Asym - Std,DorsAttn - Asym - Std,Limbic - Asym - Std,SalVentAttn - Asym - Std,SomMot - Asym - Std,Vis - Asym - Std,Cont - G2 - Std - L,Cont - G2 - Std - R,Cont - G2 - Std - Asym,Default - G2 - Std - L,Default - G2 - Std - R,Default - G2 - Std - Asym,DorsAttn - G2 - Std - L,DorsAttn - G2 - Std - R,DorsAttn - G2 - Std - Asym,Limbic - G2 - Std - L,Limbic - G2 - Std - R,Limbic - G2 - Std - Asym,SalVentAttn - G2 - Std - L,SalVentAttn - G2 - Std - R,SalVentAttn - G2 - Std - Asym,SomMot - G2 - Std - L,SomMot - G2 - Std - R,SomMot - G2 - Std - Asym,Vis - G2 - Std - L,Vis - G2 - Std - R,Vis - G2 - Std - Asym,Cont - G3 - R - Std,Cont - G3 - L - Std,Cont - G3 - asym - Std,Default - G3 - R - Std,Default - G3 - L - Std,Default - G3 - asym - Std,DorsAttn - G3 - R - Std,DorsAttn - G3 - L - Std,DorsAttn - G3 - asym - Std,Limbic - G3 - R - Std,Limbic - G3 - L - Std,Limbic - G3 - asym - Std,SalVentAttn - G3 - R - Std,SalVentAttn - G3 - L - Std,SalVentAttn - G3 - asym - Std,SomMot - G3 - R - Std,SomMot - G3 - L - Std,SomMot - G3 - asym - Std,Vis - G3 - R - Std,Vis - G3 - L - Std,Vis - G3 - asym - Std
57,strong_typical,Typical,70.51,79.03,35.88,68.61,32.26,15.83,8.84,70.92,73.39,21.27,56.40,34.32,15.82,8.34,-0.41,5.63,14.62,12.20,-2.06,0.01,0.49,49.69,53.74,-4.05,50.78,54.99,-4.21,52.41,54.27,-1.86,52.48,51.17,1.31,20.62,21.95,-1.33,12.41,9.89,2.52,89.55,88.63,0.92,75.228809069,64.967359925,-10.26144914,33.191422284,32.495415041,-0.696007243,47.809366552,54.439833596,6.6304670434,41.028363012,32.245378377,-8.782984636,53.673203382,44.813568201,-8.859635181,27.116644645,30.575418586,3.4587739406,32.699246209,32.302399084,-0.396847126
5372,strong_typical,Typical,68.26,83.16,26.28,63.50,37.73,19.31,14.58,67.63,78.96,19.80,73.92,26.77,20.85,12.36,0.63,4.21,6.48,-10.42,10.96,-1.55,2.22,51.23,50.62,0.61,52.64,52.64,-0.00,50.67,55.95,-5.28,40.33,49.51,-9.19,27.16,26.87,0.28,20.46,22.31,-1.85,84.19,82.80,1.39,69.602345247,67.78529208,-1.817053167,31.734102129,26.722956361,-5.011145768,63.35637362,65.990723432,2.6343498124,30.679079131,27.138246299,-3.540832832,66.781303799,57.394135792,-9.387168007,26.842324137,30.621503645,3.7791795085,37.667644813,35.949862557,-1.717782256
124,mild_typical,Typical,55.72,78.03,31.57,62.75,32.31,10.31,13.47,71.01,75.30,23.54,52.21,28.09,13.81,13.37,-15.28,2.72,8.03,10.53,4.22,-3.51,0.10,55.58,58.21,-2.64,55.06,56.00,-0.94,50.25,52.42,-2.17,48.76,49.28,-0.52,28.29,27.60,0.70,17.48,16.44,1.04,80.73,79.79,0.94,67.273709901,72.389218364,5.115508463,23.443614856,29.862784071,6.4191692154,63.211278567,60.766520464,-2.444758103,33.60695509,28.887714155,-4.719240935,46.432198198,40.675438569,-5.756759629,23.87896301,22.871538255,-1.007424755,33.473111638,32.038893878,-1.434217761
6437,mild_typical,Typical,50.47,79.66,26.75,59.62,22.94,23.90,14.75,69.74,86.11,27.45,67.86,20.73,22.63,13.50,-19.27,-6.45,-0.70,-8.24,2.21,1.27,1.26,44.22,52.29,-8.08,55.72,57.42,-1.70,41.72,38.47,3.25,48.48,49.77,-1.29,20.85,20.72,0.13,22.47,24.70,-2.23,81.93,85.11,-3.18,63.650473532,83.854762066,20.204288534,22.957442894,27.470604604,4.51316171,62.831480582,61.850498884,-0.980981698,32.836128678,39.134535632,6.2984069547,70.337065751,67.617791446,-2.719274305,32.253045489,34.909689649,2.65664416,34.795597669,39.573672709,4.7780750402
8678,strong_typical,Typical,60.67,76.71,36.79,66.09,34.73,22.10,15.16,62.52,74.63,33.16,51.28,31.43,21.49,12.70,-1.84,2.08,3.62,14.81,3.29,0.61,2.46,40.23,43.26,-3.02,49.99,51.82,-1.83,38.24,31.28,6.96,50.49,51.40,-0.91,21.31,14.16,7.15,12.90,15.53,-2.63,83.80,83.65,0.14,83.473169427,67.552634292,-15.92053513,37.042156564,30.094483967,-6.947672597,70.134070516,68.792977966,-1.34109255,31.575283309,24.538052681,-7.037230628,68.495438841,64.358687976,-4.136750866,30.490143967,34.404079716,3.913935749,24.824110764,27.237274713,2.4131639491
789,strong_typical,Typical,53.68,83.24,40.38,78.24,34.42,14.51,18.09,66.39,83.76,35.01,77.39,29.68,16.80,16.44,-12.71,-0.52,5.37,0.85,4.75,-2.29,1.65,50.45,52.65,-2.21,54.51,54.80,-0.29,47.73,46.18,1.55,51.11,51.45,-0.34,32.61,29.91,2.70,13.91,17.46,-3.55,82.47,81.65,0.82,72.347583539,80.021132906,7.6735493663,31.383151622,24.560103973,-6.82304765,70.678102219,69.410644592,-1.267457627,24.900902442,27.012755554,2.1118531122,60.539445565,59.207983261,-1.331462303,23.204518298,19.039329894,-4.165188404,32.923144845,33.835288469,0.9121436233
6459,strong_typical,Typical,59.39,80.93,23.58,57.70,25.05,14.60,14.10,61.72,78.15,19.28,61.13,33.08,15.60,13.27,-2.33,2.78,4.30,-3.43,-8.03,-1.00,0.84,49.87,53.67,-3.79,53.28,54.80,-1.52,54.31,53.41,0.90,43.92,43.62,0.30,13.95,19.81,-5.86,10.55,12.84,-2.29,83.30,82.94,0.36,78.589696366,68.996137803,-9.593558562,29.548801701,33.955882332,4.4070806306,59.482865762,55.497836174,-3.985029588,26.733107769,30.791941003,4.0588332336,59.20173155,52.297074445,-6.904657106,33.493941058,31.690595592,-1.803345466,44.013443608,41.543671407,-2.469772201
5292,strong_typical,Typical,61.07,72.95,27.25,51.56,27.81,13.40,13.43,70.16,63.98,20.06,47.49,36.21,12.29,12.05,-9.09,8.97,7.19,4.07,-8.40,1.11,1.38,51.75,55.41,-3.66,51.87,51.66,0.21,41.52,39.67,1.85,43.45,38.98,4.47,30.32,37.76,-7.44,9.35,8.58,0.76,79.06,78.11,0.95,87.257180049,72.344482502,-14.91269755,29.010258686,33.143166464,4.1329077781,43.555169956,51.037766554,7.482596598,29.800671688,26.800566141,-3.000105547,55.341695947,45.205080965,-10.13661498,15.481817648,18.312772171,2.8309545233,35.218499259,36.862075673,1.6435764141
7057,strong_typical,Typical,64.52,83.63,33.01,76.39,37.08,25.22,15.69,73.77,82.13,30.15,76.63,32.24,26.00,17.11,-9.25,1.51,2.87,-0.24,4.85,-0.77,-1.42,40.74,44.67,-3.93,45.73,47.49,-1.76,36.17,37.28,-1.12,41.18,42.51,-1.33,14.90,15.09,-0.19,7.61,12.15,-4.55,83.13,80.37,2.76,72.810278462,71.333147636,-1.477130825,38.148584824,29.846596139,-8.301988685,70.845505226,66.391284954,-4.454220272,33.537143128,31.470608894,-2.066534234,73.888854769,69.159601479,-4.729253289,30.550937401,29.076312148,-1.474625253,33.321060816,32.148887669,-1.172173147
9873,Atypical,Atypical,58.73,72.96,23.38,61.65,34.74,17.99,9.07,69.05,78.08,24.30,70.21,40.64,19.43,8.50,-10.32,-5.12,-0.92,-8.56,-5.89,-1.44,0.57,48.16,52.97,-4.81,49.72,52.06,-2.34,56.21,54.62,1.58,44.50,45.65,-1.16,33.43,32.83,0.59,8.26,12.00,-3.74,87.49,89.04,-1.56,71.090914744,75.69167671,4.6007619659,28.417249135,29.591489303,1.1742401684,58.187025999,52.318962551,-5.868063448,32.972026366,28.854233408,-4.117792958,60.162400521,49.443634578,-10.71876594,24.550515289,21.922430039,-2.628085251,39.167318536,40.176198763,1.0088802263
